FID,OID,DID,VAL
1290,421100,411500,10120
998,360700,360900,10129
1972,441600,445200,10191
731,341800,320500,10225
1098,411300,421300,10246
773,350300,350400,10286
2016,441900,440500,10296
412,330700,330500,10306
703,341600,341100,10326
173,320500,341800,10332
343,330300,310000,10358
1631,431100,440100,10383
2088,445300,440300,10433
1171,420300,610900,10452
761,350200,350700,10542
2216,610900,420300,10554
524,340300,320100,10593
1327,421300,411300,10614
763,350200,350900,10623
468,331000,331100,10639
30,310000,330300,10696
2033,441900,450400,10699
438,330800,350700,10701
1920,441300,440200,10728
2106,450300,440100,10832
950,360400,430600,10945
874,350900,350200,11000
482,331100,331000,11005
1708,440100,445100,11006
2055,442000,445300,11038
832,350700,330800,11104
567,340600,320300,11160
1690,440100,431100,11171
638,341100,321300,11278
493,340100,340700,11308
668,341300,320100,11320
1552,430600,430200,11347
1621,431000,441900,11349
1355,422800,430800,11386
76,320100,340300,11408
135,320400,330500,11410
1711,440100,450300,11425
2144,450900,441900,11556
833,350700,331100,11649
582,340700,340100,11669
1186,420500,429021,11699
109,320200,341800,11734
46,310000,341100,11738
117,320300,340600,11777
1725,440100,820000,11880
2000,441800,442000,11887
1578,430800,422800,11892
803,350500,350700,11920
725,341700,360400,12027
1416,429021,420500,12050
1476,430200,430600,12120
506,340200,310000,12249
2053,442000,441800,12256
483,331100,350700,12267
1839,440600,450900,12275
85,320100,341300,12283
1635,431100,441900,12307
1003,360700,440300,12327
1604,430900,431200,12391
1515,430400,440100,12438
634,341100,320500,12458
838,350700,350500,12516
39,310000,340200,12570
1538,430500,450300,12634
1643,431200,430900,12650
729,341800,320200,12706
2010,441900,431000,12887
1718,440100,451100,12890
1310,421200,360400,12916
2239,820000,440100,12931
378,330500,320400,12987
191,320600,330400,13102
1553,430600,430300,13128
1493,430300,430600,13158
2148,451100,440100,13185
216,320800,321100,13234
1687,440100,430400,13351
1980,441700,441900,13423
262,321100,320800,13576
2104,450300,430500,13626
948,360400,421200,13643
828,350600,445200,13662
1007,360700,441900,13750
1335,421300,420800,13794
726,341700,361100,13845
1974,441700,440300,13886
1750,440300,360700,14015
1858,440800,440300,14036
1235,420800,421300,14044
1662,431300,431200,14046
743,350100,330300,14064
1644,431200,431300,14102
815,350600,350300,14142
353,330300,350100,14197
1733,440200,440300,14209
2141,450900,440600,14255
1099,411400,320300,14299
1764,440300,440800,14334
1287,421100,341500,14383
1070,361100,350700,14386
2099,445300,450900,14465
124,320300,411400,14568
775,350300,350600,14618
1196,420600,420900,14620
694,341500,341600,14672
1689,440100,431000,14715
2150,451100,440600,14730
2094,445300,441900,14754
656,341200,340300,14770
112,320300,320500,14779
642,341100,340400,14789
436,330800,331100,14802
887,360100,360600,14860
2004,441900,360700,14872
2135,450800,440600,14929
1252,420900,421000,14998
481,331100,330800,15006
1617,431000,440100,15013
1838,440600,450800,15015
363,330400,320600,15028
2011,441900,431100,15111
570,340600,340300,15120
1249,420900,420600,15152
2073,445200,350600,15205
649,341100,341600,15213
1068,361100,341700,15213
495,340100,341000,15219
534,340300,341200,15230
282,321300,320200,15284
706,341600,341500,15352
143,320500,320300,15394
532,340300,340600,15450
1928,441300,441800,15471
697,341500,421100,15506
2111,450400,440100,15571
1943,441400,441900,15649
975,360600,360100,15662
845,350700,361100,15738
1062,361100,330100,15822
1840,440600,451100,15827
1777,440300,445300,16037
805,350500,350900,16078
100,320200,321300,16193
2026,441900,441700,16211
1771,440300,441700,16267
457,331000,310000,16353
1712,440100,450400,16443
1997,441800,441300,16464
169,320500,341100,16528
1107,411500,420100,16583
37,310000,331000,16638
547,340400,341100,16651
750,350100,350800,16772
1759,440300,440200,16792
956,360500,360100,16831
1785,440300,820000,16839
1597,430900,430300,16930
847,350800,350100,16936
1904,441200,440300,16984
