FID,OID,DID,VAL
1175,411300,421300,10010
302,321300,341100,10020
1456,429004,420800,10023
2232,445300,450700,10041
1219,420100,430600,10051
777,341800,340500,10052
2219,445200,441600,10147
106,320200,330100,10167
1631,430600,420100,10218
176,320500,340500,10225
875,350700,330800,10296
1002,360400,420100,10360
401,330500,330700,10361
840,350400,361000,10374
383,330400,330300,10387
359,330300,330400,10396
288,321200,321300,10521
88,320100,341500,10528
448,330800,330200,10530
1120,361000,350400,10534
583,340500,341800,10632
725,341500,340300,10653
205,320600,330400,10662
486,331000,330800,10693
458,330800,350700,10741
2270,450800,440100,10773
625,340800,341000,10931
2188,442000,450800,10954
1373,421000,430100,11056
2274,450800,442000,11064
1067,360700,440500,11071
860,350600,350400,11083
1534,430100,421000,11159
475,330900,331000,11160
301,321300,340300,11286
767,341700,361100,11308
1768,433100,430900,11308
487,331000,330900,11341
2039,441300,440200,11358
1008,360400,430600,11360
1925,440500,441900,11364
832,350400,350300,11379
2371,610900,420300,11425
1942,440600,441600,11612
766,341700,360400,11634
852,350500,360700,11640
834,350400,350600,11653
1982,440800,441900,11653
478,331000,320500,11663
2093,441600,445200,11701
817,350300,350400,11706
1888,440300,451100,11783
1950,440600,450300,11812
2244,450300,440600,11867
1405,421200,360400,11915
1262,420300,610900,11921
1826,440100,820000,11947
547,340300,321300,11953
957,360200,360600,11966
170,320500,331000,12003
917,350900,350300,12054
419,330600,330900,12088
1900,440400,440900,12090
719,341500,310000,12182
822,350300,350900,12272
1047,360700,350400,12318
1396,421100,421200,12329
473,330900,330600,12490
1569,430200,430900,12504
839,350400,360700,12525
1083,360800,360600,12552
876,350700,331100,12555
1006,360400,421200,12556
2230,445300,442000,12568
522,340100,411500,12592
355,330300,310000,12611
2387,820000,440100,12725
1815,440100,450800,12772
2251,450400,441900,12829
772,341800,320500,12870
1412,421200,421100,12880
257,321000,320700,12964
805,350200,350900,12980
307,330100,320200,13025
783,350100,330300,13100
1659,430700,430300,13179
672,341100,321300,13264
1203,420100,420300,13354
1252,420300,420100,13461
2006,440900,440400,13475
2199,445100,440100,13484
501,331100,350700,13493
916,350900,350200,13494
878,350700,350200,13520
500,331100,331000,13531
1034,360600,360200,13548
25,310000,330300,13598
586,340600,320300,13631
430,330700,330500,13651
1039,360600,360800,13663
2142,441900,440500,13760
367,330300,350100,13793
44,310000,341500,13794
722,341500,320500,13835
544,340300,320100,13860
1145,361100,350700,13866
2163,441900,451100,13899
380,330400,320600,13905
488,331000,331100,13907
2223,445300,440300,13925
680,341100,341200,13926
803,350200,350700,13958
143,320400,330500,13970
