FID,OID,DID,VAL
1196,361100,341700,10001
1107,360700,431000,10012
634,340700,341000,10028
780,341700,310000,10088
1507,422800,421000,10131
1170,361000,350500,10145
2475,820000,440600,10197
588,340400,341300,10230
230,320800,320600,10248
2107,441200,450300,10323
679,341000,340700,10389
1412,420900,429005,10425
1572,429021,420600,10461
2259,442000,440200,10473
814,341800,341700,10483
112,320200,341100,10503
1254,411500,421300,10588
1654,430300,430800,10594
1260,420100,340800,10595
1239,411300,421300,10604
1141,360800,441900,10609
2340,450300,441200,10670
606,340500,341500,10674
2338,450300,440300,10700
52,310000,361100,10736
687,341000,360200,10736
1252,411500,420900,10859
1409,420900,421200,11010
1361,420600,429021,11034
795,341700,341800,11036
192,320500,411400,11063
798,341700,361100,11140
2292,445100,441500,11166
1289,420100,430100,11291
2290,445100,441300,11318
1834,433100,430300,11341
2133,441300,445100,11366
979,360100,420100,11457
1725,430700,422800,11461
2009,440600,441500,11479
1011,360300,360100,11508
751,341500,340200,11533
1484,421300,411300,11542
1426,421000,422800,11632
2365,450700,440800,11679
640,340800,320100,11726
1770,430900,433100,11742
2218,441900,360800,11788
718,341200,340600,11797
2264,442000,440800,11811
18,310000,321300,11815
1472,421200,420900,11837
2016,440600,445200,11891
2050,440800,440400,11898
2476,820000,440700,11972
2096,441200,431100,11980
708,341100,341200,12082
1477,421200,430100,12082
2030,440600,820000,12089
1118,360700,445200,12093
283,321100,341100,12118
2301,445200,440600,12123
1393,420800,429004,12148
842,350200,440300,12183
595,340500,320200,12197
2057,440800,445300,12263
2322,445300,450700,12275
2278,442000,451100,12279
41,310000,341700,12287
664,341000,310000,12316
249,320900,321100,12374
1248,411500,340100,12386
2443,522600,430500,12448
916,350700,330800,12557
398,330500,320100,12561
1488,421300,420300,12568
1658,430300,431200,12610
1860,440100,430500,12624
2154,441500,440600,12634
1485,421300,411500,12636
406,330500,330700,12647
1326,420300,421300,12680
993,360200,341000,12725
1111,360700,440500,12756
111,320200,340500,12758
464,330800,350700,12769
1601,430100,421200,12836
752,341500,340300,12869
1902,440200,430400,12896
2371,450800,441200,12981
1538,429005,420500,13002
2248,441900,450800,13171
2323,445300,450800,13218
2156,441500,441400,13341
319,330100,320600,13396
2374,450800,445300,13407
2160,441500,445100,13418
1804,431200,430300,13466
34,310000,340500,13617
713,341200,310000,13650
39,310000,341200,13664
2305,445200,441600,13723
37,310000,341000,13762
2372,450800,441900,13860
1889,440100,450700,13951
1913,440300,350200,14001
13,310000,320800,14007
593,340500,310000,14022
2047,440700,820000,14072
2364,450700,440600,14095
2466,611000,420300,14116
1330,420300,611000,14140
1715,430600,430400,14240
2109,441200,450800,14293
1210,361100,360900,14306
2275,442000,450400,14374
36,310000,340800,14411
1263,420100,360100,14469
699,341100,321300,14513
514,340100,310000,14530
1559,429006,421000,14533
378,330300,361100,14694
82,320100,340800,14730
1704,430600,360400,14737
1138,360800,440300,14768
2363,450700,440100,14814
1336,420500,420900,14834
1835,433100,430500,14908
439,330700,330900,14923
481,330900,330700,14951
1632,430200,430500,14978
1259,411700,420100,15080
1154,360900,361100,15128
1524,429004,420800,15144
543,340200,320500,15189
1927,440300,430500,15241
461,330800,331000,15244
425,330600,331100,15331
1169,361000,350400,15334
1817,431300,430200,15350
83,320100,341000,15407
89,320100,341700,15423
256,321000,320300,15440
970,360100,360300,15465
1429,421000,429006,15493
30,310000,340100,15526
506,331100,330600,15534
1189,361100,330300,15606
1342,420500,429005,15626
639,340800,310000,15658
146,320400,340500,15675
1907,440200,441300,15798
839,350200,360700,15855
1638,430200,431300,15977
596,340500,320400,16103
1378,420700,421200,16338
1694,430500,433100,16416
1681,430400,441900,16457
493,331000,330800,16489
1950,440300,450300,16498
1471,421200,420700,16510
459,330800,330600,16622
2121,441300,440200,16633
1684,430500,430200,16730
665,341000,320100,16827
2393,451100,442000,16960
781,341700,320100,16969
2381,450900,445300,16974
276,321100,320900,16994
537,340100,411500,17032
555,340200,341500,17043
2168,441600,440600,17174
1921,440300,360800,17424
1751,430800,430900,17443
900,350600,350400,17501
422,330600,330800,17503
597,340500,320500,17586
1667,430400,430600,17666
2376,450900,440300,17690
797,341700,360400,17730
1253,411500,421100,17821
1891,440100,450900,17845
1403,420900,420500,17866
2221,441900,430500,17906
608,340500,341800,17924
917,350700,331100,17969
2220,441900,430400,17985
2022,440600,450700,18080
2387,451100,440300,18161
810,341800,340500,18167
873,350400,361000,18185
1763,430900,430400,18284
1767,430900,430800,18313
502,331100,330200,18380
1956,440300,451100,18420
177,320500,340500,18453
298,321300,310000,18510
1272,420100,411700,18519
2175,441600,445200,18588
208,320600,330400,18591
871,350400,360700,18662
202,320600,320800,18810
1093,360700,350400,18869
482,330900,331000,18880
2265,442000,440900,18929
1049,360400,430600,19069
912,350600,445200,19089
356,330200,331100,19097
865,350400,350600,19111
1705,430600,420100,19131
510,331100,350700,19309
224,320800,310000,19320
494,331000,330900,19360
174,320500,340200,19426
1967,440400,440900,19439
384,330400,320600,19465
423,330600,330900,19475
456,330800,330300,19500
2349,450400,442000,19535
2287,445100,440300,19621
2082,440900,440400,19671
2472,820000,440100,19676
1450,421100,411500,19680
2324,445300,450900,19744
387,330400,330300,19863
1680,430400,441800,19875
141,320400,321300,19893
455,330800,330200,20010
732,341300,320500,20032
1947,440300,445100,20049
1809,431200,430900,20216
228,320800,320400,20259
2020,440600,450300,20340
480,330900,330600,20362
260,321000,320700,20373
2010,440600,441600,20439
1798,431100,441200,20442
888,350500,360700,20506
217,320700,321000,20512
2464,610900,420300,20552
2251,441900,451100,20555
680,341000,340800,20566
1329,420300,610900,20595
1899,440100,820000,20619
855,350300,350900,20724
1290,420100,430600,20785
1670,430400,430900,20796
958,350900,350300,20852
1467,421200,360400,21001
353,330200,330800,21116
436,330700,330500,21338
184,320500,341300,21347
1458,421100,421200,21349
365,330300,330400,21379
1431,421000,430100,21465
2392,451100,441900,21515
1113,360700,441300,21569
850,350300,350400,21598
1046,360400,421200,21747
2247,441900,450700,21769
1344,420500,429021,21816
863,350400,350300,21858
1589,430100,360100,21860
1796,431100,440300,22156
122,320300,340600,22230
614,340600,340100,22230
651,340800,341000,22242
2339,450300,440600,22254
1636,430200,430900,22288
1571,429021,420500,22377
87,320100,341500,22410
746,341500,320100,22416
1695,430500,440100,22442
1699,430500,441900,22483
983,360100,430100,22567
1768,430900,431200,22717
509,331100,331000,22747
1838,433100,430900,22749
611,340600,320300,22795
2375,450900,440100,22871
2366,450700,441900,22888
1742,430800,422800,22914
1761,430900,430200,22964
1354,420600,421000,23225
495,331000,331100,23253
1474,421200,421100,23302
1515,422800,430800,23448
1729,430700,430300,23669
691,341100,310000,23724
838,350200,350900,23736
2296,445200,350600,23742
1042,360400,420100,23814
1928,440300,431000,23960
957,350900,350200,24000
1600,430100,421000,24079
1991,440500,441900,24360
372,330300,350100,24422
1091,360700,350200,24520
485,331000,320500,24539
522,340100,340600,24547
1782,431000,440300,24692
2117,441300,360700,24786
172,320500,331000,24911
1391,420800,421300,24924
1492,421300,420800,24960
2245,441900,450400,25392
2228,441900,440500,25429
2130,441300,441800,25502
361,330300,310000,25514
2473,820000,440300,25531
1320,420300,420100,25635
762,341500,341600,25658
928,350700,361100,25765
561,340300,320100,26062
2055,440800,441900,26076
1266,420100,360400,26118
2205,441800,441300,26123
