FID,OID,DID,VAL
2196,450700,440100,10009
41,310000,341200,10049
868,350700,361000,10121
2179,450300,440300,10125
218,320800,320600,10257
1078,360900,361100,10305
1119,361100,360900,10318
531,340300,321300,10330
768,350100,310000,10336
1345,421000,430900,10381
1383,421200,430100,10454
1873,440400,440900,10460
1502,430100,421200,10569
1667,430900,421000,10585
523,340200,341500,10635
1924,440600,820000,10661
439,330800,350700,10727
2307,820000,440600,10733
1587,430500,430200,10820
620,341000,320100,10906
2198,450700,440800,10928
1474,429021,420600,10975
1270,420600,429021,10995
1173,420100,360100,11011
1167,411700,420100,11037
1859,440300,450300,11270
1823,440300,350200,11303
1311,420900,420500,11305
2168,445300,442000,11310
82,320100,341700,11342
1767,440100,430500,11358
722,341600,320100,11396
1831,440300,360800,11435
736,341700,310000,11489
262,321100,320900,11496
1036,360700,431000,11509
39,310000,341000,11517
1088,361000,350700,11530
606,340800,341000,11542
969,360400,341700,11571
1555,430300,430800,11614
1042,360700,441300,11639
654,341100,321300,11668
2308,820000,440700,11721
526,340300,310000,11790
598,340800,320500,11798
406,330600,331100,11805
1856,440300,445100,11970
360,330300,361100,12000
1415,422800,430700,12024
1599,430500,441800,12045
597,340800,320100,12080
858,350700,330800,12089
1066,360800,441900,12133
417,330700,330900,12148
1301,420800,429004,12173
2298,611000,420300,12275
1235,420300,611000,12348
752,341700,361100,12493
300,330100,320600,12512
558,340500,320200,12561
779,350200,310000,12586
633,341000,340800,12789
1040,360700,440500,12815
137,320400,340500,12903
2132,442000,451100,12909
479,331100,330600,12916
1938,440700,820000,12919
1725,431300,430200,12924
1628,430700,422800,13014
1498,430100,420100,13054
790,350200,440300,13057
2141,445100,440300,13099
2104,441900,450800,13154
1835,440300,430500,13207
403,330600,330800,13238
35,310000,340500,13351
466,331000,330800,13364
1110,361100,341700,13478
653,341100,321100,13536
1425,429004,420800,13603
1388,421300,411500,13636
454,330900,330700,13657
1286,420700,421200,13664
1162,411500,421100,13689
1659,430800,430900,13741
1242,420500,420900,13826
1462,429006,421000,13866
1994,441300,440200,13884
1376,421200,420700,13912
1086,361000,350400,13973
1440,429005,420500,13983
842,350600,350400,14006
337,330200,331100,14073
164,320500,340200,14110
436,330800,331000,14159
2222,451100,442000,14188
1150,411400,320500,14199
569,340500,341800,14201
788,350200,360700,14307
737,341700,320100,14348
387,330500,330700,14410
818,350400,361000,14441
1817,440200,441300,14500
559,340500,320400,14559
817,350400,360700,14599
1862,440300,451100,14644
1103,361100,330200,14803
434,330800,330600,14846
1908,440600,441600,14846
1676,430900,430800,14848
291,321300,321200,14898
1024,360700,350400,14929
1063,360800,440300,14957
619,341000,310000,15064
2206,450900,440300,15079
947,360300,360100,15087
1573,430400,430900,15123
1744,433100,430500,15159
179,320500,411400,15165
193,320600,330400,15168
1248,420500,429005,15284
2077,441900,430400,15349
1148,411300,421300,15364
1197,420100,430600,15380
506,340100,411500,15420
1672,430900,430400,15508
811,350400,350600,15585
2103,441900,450700,15653
2199,450700,441900,15683
2107,441900,451100,15957
556,340500,310000,15962
787,350200,350900,15973
476,331100,330200,16041
764,341800,340500,16043
1104,361100,330300,16072
1112,361100,350700,16080
1033,360700,360900,16139
2217,451100,440300,16213
1387,421300,411300,16224
1109,361100,341000,16271
334,330200,330800,16297
404,330600,330900,16310
2129,442000,445300,16331
1967,440900,440400,16366
1179,420100,411700,16439
369,330400,330300,16490
293,321300,341100,16626
669,341200,310000,16638
706,341500,340200,16652
1338,421000,429006,16654
1501,430100,421000,16797
1537,430200,430900,16918
809,350400,350300,17024
1157,411500,340100,17052
596,340800,310000,17112
455,330900,331000,17113
2078,441900,430500,17223
284,321300,320400,17254
1075,360900,360700,17272
560,340500,320500,17300
514,340200,320500,17312
467,331000,330900,17377
985,360400,430600,17454
2205,450900,440100,17520
1362,421100,421200,17521
798,350300,350400,17596
832,350500,360700,17637
1371,421200,360400,17653
2041,441600,440600,17693
1789,440100,445100,17727
1022,360700,350200,17800
1836,440300,431000,17884
167,320500,340500,17940
483,331100,350700,17943
1354,421100,411500,17968
1606,430600,420100,17980
1597,430500,440100,18022
1915,440600,450300,18061
346,330300,330400,18069
859,350700,331100,18124
1808,440100,820000,18130
453,330900,330600,18150
2221,451100,441900,18172
80,320100,341500,18332
921,360100,430100,18360
2296,610900,420300,18389
2202,450800,441900,18472
1379,421200,421100,18502
1799,440100,450900,18546
1605,430600,360400,18695
898,350900,350300,18702
1234,420300,610900,18709
1583,430400,441900,18744
1492,430100,360100,18745
2131,442000,450800,19034
2121,442000,440900,19117
432,330800,330300,19142
803,350300,350900,19258
983,360400,421200,19398
2304,820000,440100,19504
1025,360700,350500,19581
431,330800,330200,19628
1837,440300,431100,19660
1554,430300,430700,19668
