FID,OID,DID,VAL
524,331100,330600,10002
1198,411500,340100,10029
975,360300,360100,10046
1918,440300,450300,10142
2291,450700,440100,10146
554,340200,320500,10151
1971,440600,441500,10166
244,320900,321100,10303
2302,450900,440300,10400
2245,445200,440600,10429
2241,445200,360700,10490
705,341200,310000,10541
1220,420100,411700,10560
1676,430700,430300,10563
856,350400,361000,10571
608,340500,341800,10604
1720,431000,360700,10605
2249,445200,441600,10709
1186,411300,421300,10711
1099,360800,440300,10732
407,330500,320400,10761
870,350500,361000,10805
598,340500,320400,10820
1636,430500,441900,10831
457,330700,361000,10854
492,330900,330600,10879
224,320800,320400,10993
1020,360500,360700,10993
532,340100,310000,10994
1428,421300,411300,11026
1211,411700,420100,11036
797,341800,340500,11056
892,350600,445200,11075
1115,360900,430200,11093
691,341100,321300,11106
1381,421000,430100,11113
1639,430500,520600,11175
2271,450300,440300,11244
474,330800,350700,11280
396,330400,330900,11311
907,350700,361100,11315
2397,820000,440600,11315
466,330800,330300,11368
521,331100,330200,11369
1217,420100,360400,11397
1504,429006,421000,11518
162,320500,330900,11613
1993,440600,820000,11829
138,320400,340500,11849
784,341700,361100,11927
468,330800,330600,12017
507,331000,330900,12018
45,310000,350200,12145
954,360100,430100,12169
1467,429004,420800,12245
1620,430400,441900,12254
2159,441900,360800,12372
1358,420900,421200,12390
485,330900,320500,12419
941,360100,360300,12501
1146,361100,350700,12507
465,330800,330200,12559
490,330900,330400,12577
2314,451100,440300,12634
391,330400,330300,12663
2398,820000,440700,12706
351,330200,331100,12710
178,320500,341600,12740
300,321300,341100,12741
269,321100,320900,12758
498,331000,320500,12834
1978,440600,445200,12849
997,360400,341700,12909
2298,450800,441900,12951
1873,440200,441300,12954
2121,441600,445200,12955
1056,360700,350200,12977
166,320500,340200,12983
2233,445100,440300,13029
2150,441800,441300,13031
595,340500,310000,13156
494,330900,331000,13194
738,341500,320100,13352
226,320800,320600,13370
1124,361000,350400,13400
642,340800,310000,13419
1853,440100,450700,13488
599,340500,320500,13531
1632,430500,433100,13553
456,330700,360900,13677
1581,430200,431300,13709
33,310000,340500,13714
1237,420100,430600,13718
2240,445200,350600,13799
869,350500,360800,13828
1008,360400,420100,13828
