FID,OID,DID,VAL
1057,361100,360900,10021
621,341100,341200,10066
373,330500,330900,10075
1885,441300,445100,10094
1904,441500,440600,10101
1070,371100,320300,10153
1702,440200,442000,10247
10,310000,320800,10252
1783,440600,441500,10281
1939,441800,430500,10297
1486,430500,430200,10298
1014,360900,361100,10332
1438,430200,360800,10417
860,360100,360300,10509
2036,445200,441600,10545
205,320800,320400,10614
629,341200,320500,10728
600,341000,340800,10744
95,320200,340500,10780
1333,422800,421000,10802
161,320500,340800,10855
693,341700,310000,10937
996,360800,430200,10997
1895,441400,441500,11003
1906,441500,441400,11042
1261,421000,422800,11065
1226,420800,429004,11153
1910,441500,445100,11258
279,321300,340300,11265
962,360700,350600,11326
1502,430500,522600,11329
1924,441600,445200,11330
1655,440100,430500,11331
434,330900,330500,11476
1495,430500,433100,11487
2069,450400,442000,11611
2081,450700,440800,11630
908,360400,341700,11682
1703,440300,350200,11805
689,341600,341500,11834
75,320100,341700,11980
2080,450700,440600,11995
15,310000,321300,12061
1175,420500,429004,12068
1348,429004,420800,12131
461,331100,330600,12145
1093,411500,421100,12160
825,350700,361000,12175
2196,820000,440700,12182
386,330600,330800,12194
1025,361000,350500,12213
389,330600,331100,12223
1270,421000,430900,12246
2195,820000,440600,12316
790,350500,361000,12338
34,310000,341000,12352
532,340500,320200,12377
1571,430900,433100,12594
2028,445200,360700,12635
694,341700,320100,12701
331,330300,330400,12713
69,320100,341000,12749
613,341100,321100,12774
972,360700,431000,12777
1211,420700,421200,12778
590,341000,320100,12802
1382,429006,421000,12869
1739,440300,450300,12873
877,360200,330700,12875
1800,440600,820000,12907
1048,361100,341700,12930
711,341700,361100,12936
2151,520600,430500,12940
1345,429004,420500,12957
1161,420300,611000,12993
1026,361000,350700,13034
1364,429005,420500,13038
128,320400,340500,13107
1463,430300,431200,13132
418,330800,330600,13166
2186,611000,420300,13228
1396,429021,420600,13380
1302,421200,420700,13396
609,341100,320200,13448
2050,445300,450900,13469
1814,440700,820000,13544
31,310000,340500,13602
2156,522600,430500,13644
1954,441900,360800,13708
2079,450700,440100,13726
589,341000,310000,13801
533,340500,320400,13819
2020,445100,440300,13888
1408,430100,360100,13927
1554,430800,430900,14047
1394,429021,420300,14073
1636,433100,430500,14086
574,340800,320500,14163
1108,420100,411700,14284
1446,430200,430900,14330
1289,421100,421200,14385
1176,420500,429005,14477
1264,421000,429006,14488
423,330800,350700,14552
396,330700,330500,14606
1715,440300,430400,14619
1125,420100,430600,14656
235,321000,320700,14657
630,341200,330100,14780
33,310000,340800,14856
1195,420600,429021,15095
1339,422800,430700,15175
1099,411700,420100,15193
1506,430600,420100,15226
722,341800,340500,15227
503,340300,310000,15281
2047,445300,442000,15282
1562,430900,430200,15460
633,341200,340300,15574
662,341500,320200,15636
544,340500,341800,15638
1736,440300,445100,15639
1750,440400,440900,15682
437,330900,331000,15702
681,341600,320500,15708
871,360100,430100,15765
2011,442000,451100,15822
1711,440300,360800,15949
158,320500,340500,16092
814,350700,330800,16105
449,331000,330900,16228
323,330200,331100,16244
458,331100,330200,16248
2089,450900,440100,16284
1533,430700,430300,16315
228,320900,321300,16333
1762,440500,360700,16368
2008,442000,445300,16390
1528,430700,422800,16472
1257,421000,420900,16615
1716,440300,430500,16662
1305,421200,421100,16677
1169,420500,420900,16714
1236,420900,420500,16752
1481,430400,440300,16908
1047,361100,341000,16951
1505,430600,360400,16984
1874,441300,440200,16989
1686,440100,450900,17071
534,340500,320500,17106
36,310000,341200,17160
530,340500,310000,17238
675,341500,341600,17241
2006,442000,441800,17289
155,320500,340200,17359
1158,420300,429021,17435
605,341000,361100,17445
1024,361000,350400,17602
448,331000,330800,17680
982,360700,445200,17684
925,360400,430600,17695
775,350400,360700,17708
960,360700,350400,17778
618,341100,340400,17805
1698,440200,441300,17815
1459,430300,430800,17891
320,330200,330800,18095
399,330700,330900,18113
474,340100,340600,18159
491,340200,320500,18300
1983,441900,450700,18312
550,340600,340100,18408
1497,430500,440300,18474
1784,440600,441600,18474
747,350200,360700,18485
475,340100,340700,18569
1002,360800,441900,18577
815,350700,331100,18612
1087,411500,320500,18627
970,360700,360900,18634
1918,441600,440600,18651
171,320500,411400,18676
1740,440300,451100,18706
777,350400,361000,18845
1312,421300,411300,18965
465,331100,350700,19034
756,350300,350400,19044
1847,440900,440400,19270
436,330900,330700,19277
2104,451100,442000,19426
1984,441900,450800,19432
1152,420300,420100,19580
285,330100,320200,19606
564,340700,340100,19628
525,340400,341100,19637
2099,451100,440300,19646
1280,421100,411500,19667
415,330800,330200,19690
799,350600,350400,19707
572,340800,310000,19749
850,350900,350300,19768
485,340100,411500,19816
338,330300,350100,19851
1690,440100,820000,19874
371,330500,330700,19908
1188,420600,421000,19979
1011,360900,360700,20018
2192,820000,440100,20045
761,350300,350900,20108
1110,420100,420300,20164
999,360800,440300,20213
769,350400,350300,20244
73,320100,341500,20315
919,360400,420100,20315
2184,610900,420300,20551
1160,420300,610900,20709
1568,430900,430800,20730
1088,411500,340100,20775
288,330100,320600,20829
710,341700,360400,20876
1106,420100,360400,20890
1079,411300,421300,20938
1745,440300,820000,21050
2019,445100,440100,21061
1987,441900,451100,21119
169,320500,341800,21256
63,320100,340300,21404
1956,441900,430400,21427
1415,430100,421000,21447
547,340600,320300,21583
1240,420900,421000,21653
184,320600,330100,21773
106,320300,340600,21834
727,350100,330300,21873
1458,430300,430700,21923
154,320500,331000,21970
2193,820000,440300,22093
771,350400,350600,22103
716,341800,320500,22136
1319,421300,420800,22184
1769,440500,441900,22229
810,350600,445200,22295
1051,361100,350700,22322
1515,430600,430300,22391
1964,441900,440500,22445
1639,433100,430900,22483
440,331000,320500,22514
661,341500,320100,22522
1791,440600,450300,22550
2082,450700,441900,22576
1224,420800,421300,22718
1717,440300,431000,22806
387,330600,330900,23066
504,340300,320100,23210
958,360700,350200,23225
1685,440100,450800,23250
2086,450800,441900,23319
2010,442000,450800,23333
746,350200,350900,23452
2000,442000,440900,23533
1266,421000,430100,23534
1677,440100,445100,23548
849,350900,350200,23666
1569,430900,431200,23727
420,330800,331000,23754
498,340200,341000,23778
98,320200,341800,23800
512,340300,341200,23930
334,330300,330800,23964
788,350500,360700,24096
2027,445200,350600,24129
923,360400,421200,24131
597,341000,340200,24224
1957,441900,430500,24400
1254,421000,420600,24447
435,330900,330600,24504
1041,361100,330200,24666
182,320600,321100,24719
1514,430600,430200,24904
714,341800,320200,24958
2084,450800,440100,24976
2103,451100,441900,25094
468,340100,310000,25173
249,321100,320800,25234
18,310000,330300,25256
1610,431200,430900,25332
248,321100,320600,25512
1444,430200,430600,25694
798,350600,350300,25945
464,331100,331000,26055
2090,450900,440300,26093
678,341500,421100,26122
463,331100,330800,26245
1187,420600,420900,26386
1546,430800,422800,26412
327,330300,310000,26480
72,320100,341300,26492
785,350500,350700,26525
826,350700,361100,26628
1718,440300,431100,26662
1328,422800,420100,26673
165,320500,341300,26946
1082,411400,320500,26998
758,350300,350600,27012
627,341200,310000,27026
929,360500,360100,27045
949,360600,360100,27142
1340,422800,430800,27184
211,320800,321100,27205
1457,430300,430600,27222
976,360700,440500,27250
126,320400,330500,27291
977,360700,441300,27308
1967,441900,440800,27401
1237,420900,420600,27468
862,360100,360500,27733
28,310000,340200,27843
450,331000,331100,27896
1853,440900,442000,27971
2060,450300,440600,28045
744,350200,350700,28046
1583,431000,440300,28176
647,341300,320100,28198
1297,421200,360400,28296
817,350700,350200,28596
359,330400,330900,28793
1484,430400,441900,28806
863,360100,360600,28820
113,320300,411400,28826
1687,440100,451100,28836
421,330800,331100,28917
1598,431100,440300,29004
1981,441900,450400,29008
1496,430500,440100,29384
37,310000,341500,29412
1081,411400,320300,29583
345,330300,361100,29834
624,341100,341600,29881
551,340600,340300,30054
35,310000,341100,30236
1822,440800,441900,30327
90,320200,330100,30511
166,320500,341500,30630
1611,431200,431300,30754
820,350700,350500,30775
2087,450800,442000,30799
510,340300,340600,30815
1681,440100,450300,30901
1120,420100,422800,31016
1277,421100,341500,31120
1563,430900,430300,31122
433,330900,330400,31211
2040,445300,440300,31538
153,320500,330900,31618
1949,441800,442000,31766
1487,430500,430300,32058
1720,440300,440200,32159
1732,440300,441700,32198
1926,441700,440300,32408
1738,440300,445300,32566
1500,430500,450300,32574
416,330800,330300,33182
607,341100,310000,33203
2058,450300,440100,33478
1627,431300,431200,33498
1807,440700,441200,33663
576,340800,330500,33732
1658,440100,431100,33772
2056,450300,430500,33782
1696,440200,440300,33811
1035,361000,360900,33862
734,350100,350800,33872
2098,451100,440100,34048
429,330900,320500,34078
365,330500,320400,34484
828,350800,350100,34572
1862,441200,440700,34641
1460,430300,430900,34666
