FID,OID,DID,VAL
1941,440300,445100,10017
831,341800,341700,10058
1922,440300,431000,10080
801,341700,320100,10085
678,340800,420100,10115
266,320800,341300,10124
1208,361100,360900,10187
1175,361000,350700,10215
488,330800,330600,10264
2314,450900,440300,10289
2303,450700,440800,10308
1180,361000,360400,10316
325,321200,321300,10401
438,330500,330700,10464
1143,360800,440300,10473
1401,420800,429004,10503
1197,361100,341700,10509
2319,450900,445300,10553
1826,431300,430200,10578
2128,441500,445100,10603
2222,442000,440900,10640
458,330600,331100,10641
999,360200,341000,10644
277,320900,321100,10668
346,330100,320200,10678
469,330700,330900,10682
1729,430700,422800,10745
511,330900,330700,10857
1042,360400,360500,10867
567,340200,320500,10884
699,341000,360200,10953
180,320400,340500,11009
1060,360500,360400,11080
533,331100,330600,11108
1586,430100,360100,11154
2193,441900,440800,11166
1525,429004,420800,11215
611,340500,310000,11241
2111,441400,441500,11272
659,340800,310000,11301
1681,430500,430200,11321
1668,430400,430900,11331
934,350700,361000,11339
2087,441300,440200,11457
209,320500,340500,11482
1331,420300,611000,11486
1328,420300,429021,11495
988,360100,430100,11521
815,341700,361100,11528
1388,420700,421200,11532
614,340500,320400,11543
1437,421000,429006,11609
490,330800,331000,11726
2190,441900,440500,11741
1476,421200,420700,11748
341,321300,341100,11749
2240,445100,440300,11758
172,320400,320800,11775
339,321300,340300,11788
2230,442000,445300,11810
626,340500,341800,11821
250,320800,310000,11835
388,330200,330800,11921
899,350500,360700,11921
155,320300,321000,11995
1693,430500,440100,12031
826,341800,340500,12108
2258,445200,441600,12123
1992,440600,441600,12139
57,310000,341500,12198
1338,420500,420900,12233
1114,360700,431000,12245
560,340100,411500,12351
466,330700,330500,12407
1890,440100,450800,12494
814,341700,360400,12545
391,330200,331100,12600
1774,430900,430800,12622
2282,450300,441200,12638
1290,420100,430600,12648
2398,611000,420300,12723
122,320100,341500,12748
56,310000,341100,12821
1759,430800,430900,12874
2306,450800,440100,13006
1634,430200,430900,13035
1676,430400,441900,13070
1714,430600,430400,13102
404,330300,330800,13135
286,321000,320300,13191
1782,431000,360700,13196
1692,430500,433100,13205
752,341300,320500,13213
615,340500,320500,13240
925,350700,330800,13276
1894,440100,820000,13312
1097,360700,350200,13382
512,330900,331000,13411
1268,420100,360400,13475
230,320600,330400,13526
1255,411500,421100,13625
1903,440200,441300,13711
493,330800,350700,13741
2323,451100,440300,13815
1559,429006,421000,13831
1703,430600,420100,13834
417,330400,320600,13849
523,331000,330900,13891
1411,420900,420500,13931
547,340100,340600,13956
401,330300,330400,13962
2311,450800,442000,13988
2124,441500,441400,14021
39,310000,330300,14138
1702,430600,360400,14157
186,320500,320300,14163
307,321100,320900,14291
1119,360700,441300,14313
1250,411500,340100,14325
1465,421100,421200,14337
2095,441300,441800,14450
326,321300,310000,14494
2416,820000,440100,14516
