FID,OID,DID,VAL
772,350200,440300,10123
1358,421200,430100,10164
1551,430500,433100,10170
1516,430300,430800,10179
1073,361000,350500,10225
616,341000,320100,10226
77,320100,341000,10270
384,330500,330700,10270
2027,441900,360800,10302
1468,430100,421200,10331
596,340800,320100,10515
1286,420900,420500,10556
948,360400,341700,10701
1940,441300,360700,10748
2159,450700,440800,10761
1096,361100,341000,10785
1352,421200,420900,10856
1446,429021,420600,10875
597,340800,320500,10931
910,360200,330700,10939
693,341500,340200,11007
1741,440100,450700,11010
2270,820000,440700,11021
1623,430900,430400,11097
135,320400,321300,11151
36,310000,341000,11190
615,341000,310000,11220
367,330400,330300,11227
403,330600,331100,11289
1766,440300,350200,11326
1661,431200,430300,11367
1886,440700,820000,11369
1247,420600,429021,11420
1863,440600,450700,11444
1531,430400,430900,11496
1148,411500,421100,11523
1020,360700,431000,11554
1277,420800,429004,11564
414,330700,330900,11628
627,341000,340800,11640
1610,430800,430900,11700
439,330800,350700,11715
289,321300,340300,11733
1542,430500,430200,11761
1391,422800,430700,11834
2103,445200,360700,11835
83,320100,341700,11886
644,341100,321100,11905
1061,360900,361100,11911
1691,433100,430500,11927
480,331100,330600,11930
455,330900,330700,11976
520,340200,341500,11987
2168,450900,440100,12025
2133,450300,440300,12039
605,340800,341000,12049
434,330800,330600,12057
2010,441800,430500,12059
760,350200,310000,12090
1779,440300,430500,12095
2259,611000,420300,12171
1520,430300,431200,12206
1217,420300,611000,12268
2085,442000,451100,12373
208,320700,321000,12413
400,330600,330800,12413
261,321100,320900,12422
1401,429004,420800,12439
1292,420900,421200,12527
2111,445200,441600,12556
1109,361100,360900,12601
841,350700,330800,12628
1161,420100,411700,12635
1995,441600,445200,12673
1414,429005,420500,12684
1711,440100,430500,12719
524,340300,310000,12735
1778,440300,430400,12798
633,341000,361100,12822
2093,445100,440300,12832
364,330400,320600,12913
1585,430700,422800,13039
139,320400,340500,13050
1142,411500,320500,13080
344,330300,330400,13084
1799,440300,445100,13147
719,341700,320100,13182
38,310000,341200,13184
1673,431300,430200,13241
2185,451100,442000,13362
436,330800,331000,13446
556,340500,320400,13483
197,320600,330400,13510
1774,440300,360800,13556
1363,421300,411300,13629
33,310000,340500,13651
2126,445300,450900,13736
456,330900,331000,13896
732,341700,361100,13979
1627,430900,430800,14001
1504,430200,431300,14036
1072,361000,350400,14064
1942,441300,440200,14108
1227,420500,429005,14141
217,320800,320400,14164
1802,440300,450300,14183
1828,440500,360700,14185
334,330200,331100,14198
1458,430100,360100,14231
467,331000,330900,14320
1537,430400,440300,14361
1497,430200,430500,14365
1263,420700,421200,14378
902,360100,430100,14430
1431,429006,421000,14435
1760,440200,441300,14438
338,330200,361100,14516
1989,441600,440600,14521
802,350400,361000,14547
1049,360800,441900,14563
1852,440600,441600,14593
1351,421200,420700,14754
510,340200,320500,14868
826,350600,350400,14898
294,330100,320200,15051
477,331100,330200,15131
769,350200,360700,15170
1101,361100,350700,15179
12,310000,320800,15200
926,360300,360100,15224
2180,451100,440300,15268
2057,441900,450800,15301
1805,440300,451100,15363
801,350400,360700,15427
1030,360700,445200,15486
1154,411700,420100,15497
553,340500,310000,15527
181,320500,411400,15569
1009,360700,350400,15570
1313,421000,429006,15571
165,320500,340200,15579
168,320500,340500,15683
1364,421300,411500,15770
1743,440100,450900,15772
1111,370200,320700,15787
1816,440400,440900,15794
853,350700,361100,15892
557,340500,320500,16089
35,310000,340800,16183
1097,361100,341700,16220
2165,450800,441900,16373
1046,360800,440300,16457
1563,430600,420100,16463
331,330200,330800,16537
430,330800,330200,16546
889,360100,360300,16548
1560,430600,360400,16596
1180,420100,430600,16664
505,340100,411500,16683
1240,420600,421000,16710
842,350700,331100,16712
780,350300,350400,16830
401,330600,330900,16846
794,350400,350300,16910
2080,442000,441800,16948
715,341600,341500,16975
466,331000,330800,16995
2060,441900,451100,17115
411,330700,330500,17188
484,331100,350700,17188
785,350300,350900,17312
743,341800,340500,17321
454,330900,330600,17404
2029,441900,430400,17432
656,341200,310000,17442
518,340200,341000,17502
880,350900,350300,17512
1752,440100,820000,17548
245,321000,320700,17582
1143,411500,340100,17712
1694,433100,430900,17748
1135,411300,421300,17808
965,360400,430600,17900
2266,820000,440100,17949
688,341500,320100,18100
766,350200,350700,18109
2122,445300,442000,18222
844,350700,350200,18236
1333,421100,411500,18264
1915,440900,440400,18270
1733,440100,445100,18280
796,350400,350600,18308
1861,440600,450300,18385
2030,441900,430500,18412
1216,420300,610900,18424
595,340800,310000,18454
568,340500,341800,18474
2161,450700,441900,18534
2101,445200,350600,18552
2056,441900,450700,18632
2257,610900,420300,18736
1810,440300,820000,18846
2092,445100,440100,18879
837,350600,445200,18917
1340,421100,421200,18947
2184,451100,441900,19132
1780,440300,431000,19308
179,320500,341800,19326
81,320100,341500,19407
2267,820000,440300,19480
1589,430700,430300,19639
731,341700,360400,19714
1163,420100,420300,19723
2134,450300,440600,19776
2084,442000,450800,19794
1315,421000,430100,19808
815,350500,360700,19834
1007,360700,350200,19874
1467,430100,421000,19885
738,341800,320500,20010
493,340100,340600,20025
431,330800,330300,20075
1836,440500,441900,20186
573,340600,340100,20196
959,360400,420100,20199
483,331100,331000,20370
351,330300,350100,20427
1208,420300,420100,20446
2037,441900,440500,20459
468,331000,331100,20564
1354,421200,421100,20599
1742,440100,450800,20778
811,350500,350700,20808
117,320300,340600,20884
1621,430900,430200,20892
1552,430500,440100,20935
2162,450800,440100,21002
571,340600,320300,21035
625,341000,340200,21123
1602,430800,422800,21398
1392,422800,430800,21426
163,320500,331000,21443
1089,361100,330200,21748
458,331000,320500,21770
1348,421200,360400,21877
1540,430400,441900,21887
1501,430200,430900,22006
661,341200,340300,22027
2082,442000,445300,22034
1158,420100,360400,22055
2022,441800,442000,22071
963,360400,421200,22105
175,320500,341300,22129
2169,450900,440300,22174
768,350200,350900,22203
71,320100,340300,22254
2166,450800,442000,22271
1327,421100,341500,22312
705,341500,421100,22412
1515,430300,430700,22422
1781,440300,431100,22521
1303,421000,420600,22534
2040,441900,440800,22687
1641,431000,440300,22688
347,330300,330800,22830
285,321300,320900,22885
372,330400,330900,22945
1654,431100,440300,22992
1370,421300,420800,23052
1445,429021,420500,23073
1628,430900,431200,23140
1275,420800,421300,23350
452,330900,330400,23366
847,350700,350500,23374
702,341500,341600,23456
107,320200,341800,23461
2074,442000,440900,23497
1666,431200,430900,23610
1381,422800,420100,23676
1018,360700,360900,23840
1173,420100,422800,23912
525,340300,320100,23966
482,331100,330800,24071
1229,420500,429021,24235
210,320700,370200,24274
494,340100,340700,24309
20,310000,330300,24431
879,350900,350200,24541
437,330800,331100,24948
1556,430500,450300,24994
277,321300,310000,25090
2130,450300,430500,25114
736,341800,320200,25115
137,320400,330500,25148
213,320800,310000,25266
340,330300,310000,25378
1737,440100,450300,25412
2115,445300,440300,25452
80,320100,341300,25527
586,340700,340100,25532
124,320300,411400,25630
37,310000,341100,25683
1893,440800,441900,25804
447,330900,320500,25820
749,350100,330300,25833
1137,411400,320500,25878
825,350600,350300,26008
98,320200,330100,26161
1010,360700,350500,26215
162,320500,330900,26323
649,341100,340400,26333
2054,441900,450400,26554
30,310000,340200,26568
1306,421000,420900,26601
1024,360700,440500,26638
2132,450300,440100,26909
782,350300,350600,26912
388,330500,340800,27078
1745,440100,451100,27279
