FID,OID,DID,VAL
2332,440300,441900,4034724
2668,441900,440300,3946554
8,310000,320500,3003184
175,320500,310000,2905674
2394,440600,440100,2888758
2243,440100,440600,2828468
2326,440300,441300,2113918
2535,441300,440300,2061208
887,341500,340100,1866594
2666,441900,440100,1831558
638,340100,341500,1786898
2254,440100,441900,1738486
1637,420900,420100,1700742
1492,420100,420900,1680660
98,320200,320500,1593964
177,320500,320200,1585512
1703,421100,420100,1524040
1494,420100,421100,1520316
2676,441900,441300,1440278
2546,441300,441900,1409692
2385,440500,445200,1334816
2630,441800,440100,1322778
2253,440100,441800,1300654
151,320400,320200,1285254
2755,445200,440500,1274718
97,320200,320400,1261664
2363,440400,442000,1204802
1879,430100,430900,1195356
2069,430900,430100,1185344
2240,440100,440300,1157396
2317,440300,440100,1134478
2707,442000,440400,1125398
1876,430100,430600,1120834
2014,430600,430100,1115394
1022,350500,350200,1103714
1925,430300,430100,1074762
974,350200,350500,1056042
1873,430100,430300,1045342
1050,350600,350200,1042416
2402,440600,441200,1038298
2507,441200,440600,1014554
975,350200,350600,1008324
360,330100,330400,994052
495,330600,330100,992762
454,330400,330100,982404
2453,440800,440900,981332
362,330100,330600,978708
2487,440900,440800,968854
141,320300,341300,946848
862,341300,320300,911078
1129,360100,360900,895962
1324,360900,360100,892774
224,320600,310000,881386
2533,441300,440100,878120
914,341600,341200,876220
853,341200,341600,876178
301,321000,321200,864562
2248,440100,441300,861034
2384,440500,445100,859494
331,321200,321000,857070
9,310000,320600,850492
762,340800,340100,843312
2708,442000,440600,832712
633,340100,340800,824714
2410,440600,442000,810222
342,321300,320800,795538
2739,445100,440500,791190
272,320800,321300,743648
229,320600,320500,741592
137,320300,321300,730262
180,320500,320600,729310
159,320400,321100,719266
337,321300,320300,717430
288,320900,321200,712558
309,321100,320400,712304
307,321100,320100,701876
726,340600,341300,698472
71,320100,321100,695746
330,321200,320900,681498
872,341300,340600,676644
183,320500,320900,667378
476,330500,330100,641902
1900,430200,430100,637618
361,330100,330500,631790
510,330700,330100,629792
1872,430100,430200,626790
448,330400,310000,625864
804,341100,320100,622598
283,320900,320600,619146
282,320900,320500,610710
2399,440600,440700,606150
2432,440700,440600,605798
2503,441200,440100,601054
363,330100,330700,598592
2408,440600,441800,596738
86,320100,341100,596594
1654,421000,420100,593842
1109,350900,350100,592274
20,310000,330400,592054
2634,441800,440600,587070
1877,430100,430700,582888
81,320100,340500,578838
967,350100,350900,576814
817,341100,340100,576212
2247,440100,441200,573955
1493,420100,421000,573510
635,340100,341100,571190
2034,430700,430100,566064
698,340500,320100,565562
2429,440700,440100,565398
2244,440100,440700,556964
232,320600,320900,553846
324,321200,320200,551340
2543,441300,441600,546096
2113,431100,430400,541356
1954,430400,431100,541210
2021,430600,430900,540484
2074,430900,430600,538774
2595,441600,441300,537098
326,321200,320500,518266
105,320200,321200,514182
1727,421200,420100,508434
2041,430700,430900,507974
1875,430100,430500,507102
235,320600,321200,506576
1972,430500,430100,504730
252,320700,320900,501090
1495,420100,421200,498346
841,341200,340100,496462
327,321200,320600,494366
186,320500,321200,493552
261,320800,320100,493480
2075,430900,430700,493292
2194,433100,422800,491212
284,320900,320700,489472
2910,500000,422800,489034
1782,422800,433100,488848
1270,360700,360800,488652
94,320200,310000,488017
1152,360200,361100,486070
1953,430400,431000,480876
2031,430700,421000,480734
1983,430500,431300,479074
2704,442000,440100,478275
450,330400,320500,477180
191,320500,330400,475604
1783,422800,500000,475195
1302,360800,360700,475040
1396,361100,360200,474996
2640,441800,441900,474747
2176,431300,430500,474538
1674,421000,430700,472152
2286,440200,440100,466461
2681,441900,441800,464620
2329,440300,441600,462908
5,310000,320200,459276
291,321000,320100,458806
771,340800,341700,458626
496,330600,330200,456726
2093,431000,430400,454716
1518,420200,420700,453818
1606,420700,420200,453434
675,340300,341100,452672
2239,440100,440200,451609
269,320800,321000,449130
2772,445300,441200,448308
961,350100,350300,448274
930,341700,340800,447788
1190,360400,360100,447528
704,340500,340200,447202
2591,441600,440300,446770
400,330200,330600,444532
352,330100,310000,443288
2172,431300,430100,440406
585,331000,330200,438748
1883,430100,431300,438700
68,320100,320800,438064
991,350300,350100,438038
656,340200,340500,437258
1395,361100,360100,437012
2118,431100,431000,436644
2255,440100,442000,435688
298,321000,320800,434860
1790,429004,420100,434558
1124,360100,360400,434452
404,330200,331000,434120
2099,431000,431100,432822
654,340200,340100,432518
2709,442000,440700,429530
1605,420700,420100,426192
2439,440700,442000,423578
1498,420100,429004,422174
1131,360100,361100,421522
1945,430400,430100,420592
2516,441200,445300,420534
1490,420100,420700,419458
2608,441700,440900,419422
636,340100,341200,416766
70,320100,321000,416616
627,340100,340200,416160
2327,440300,441400,411970
1657,421000,420500,411752
358,330100,330200,407320
1556,420500,421000,407024
2335,440300,445200,404321
153,320400,320500,403615
819,341100,340300,402544
2488,440900,441700,402370
1874,430100,430400,401386
285,320900,320800,401360
364,330100,330800,399746
1673,421000,430600,398412
858,341200,411600,398153
268,320800,320900,396444
677,340300,341300,396226
870,341300,340300,395712
2759,445200,441500,394012
1470,411600,341200,390142
2413,440600,445300,387014
396,330200,330100,385904
2007,430600,421000,385864
17,310000,330100,384902
430,330300,331000,384068
150,320400,320100,382284
536,330800,330100,380528
341,321300,320700,379862
1815,429005,421000,378152
2632,441800,440300,377855
586,331000,330300,377790
1023,350500,350300,377528
516,330700,330800,376910
255,320700,321300,373844
1667,421000,429005,372858
2148,431200,433100,368202
994,350300,350500,367562
12,310000,320900,363300
2768,445300,440600,362036
1025,350500,350600,361848
1981,430500,431100,360929
852,341200,341500,359174
1360,361000,360100,358292
2204,433100,431200,357412
2583,441500,445200,356794
2671,441900,440600,355641
2246,440100,440900,354702
251,320700,320800,353816
1130,360100,361000,349546
179,320500,320400,347873
2674,441900,440900,346554
277,320900,310000,346021
267,320800,320700,345410
1024,350500,350400,343294
703,340500,340100,342860
630,340100,340500,341874
64,320100,320400,338107
102,320200,320900,337900
2559,441400,440300,337793
1053,350600,350500,337652
1829,429006,420800,336486
963,350100,350500,335562
2409,440600,441900,335151
555,330800,361100,333464
1767,422800,420500,332594
2754,445200,440300,332170
279,320900,320200,331476
2114,431100,430500,329128
457,330400,330500,328814
265,320800,320500,327169
2328,440300,441500,326030
1666,421000,429004,325756
896,341500,341200,323944
2482,440900,440100,323695
182,320500,320800,323409
686,340400,340100,323308
1560,420500,422800,323254
844,341200,340400,322824
1632,420800,429006,322814
1982,430500,431200,321324
949,341800,340200,321260
1796,429004,421000,320764
2572,441500,440300,320108
664,340200,341800,318160
1021,350500,350100,316418
2324,440300,440900,316091
1084,350800,350200,314850
692,340400,341200,313398
2321,440300,440600,313199
479,330500,330400,312006
912,341600,340600,310816
909,341600,340300,310524
728,340600,341600,309566
2065,430800,433100,307222
2496,440900,450900,305996
2292,440200,441800,305336
2142,431200,430500,304916
2249,440100,441400,304728
1384,361100,330800,303456
2576,441500,441300,300850
2396,440600,440300,300543
2848,450900,440900,298946
977,350200,350800,297782
2557,441400,440100,296983
2331,440300,441800,296515
2542,441300,441500,296120
500,330600,330700,294718
1010,350400,350500,293734
2631,441800,440200,291176
2220,440100,360700,290222
515,330700,330600,289510
2127,431100,441800,287075
590,331000,330700,286080
542,330800,330700,285840
1704,421100,420200,282668
2564,441400,441600,281366
629,340100,340400,281083
1522,420200,421100,280774
192,320500,330500,280281
679,340300,341600,280074
335,321300,320100,279351
2489,440900,441900,278961
314,321100,321000,277718
1975,430500,430400,277578
1516,420200,420100,277178
2626,441800,431100,276820
2201,433100,430800,276328
1072,350700,350100,274594
475,330500,320500,274320
2596,441600,441400,270302
2174,431300,430300,269580
2040,430700,430800,268496
1948,430400,430500,268213
1486,420100,420200,266252
1946,430400,430200,265230
300,321000,321100,265160
1936,430300,431300,264948
1695,421100,360400,264552
518,330700,331000,264294
2663,441900,431100,264111
859,341200,411700,263143
2606,441700,440700,263086
965,350100,350700,262908
584,331000,330100,262612
2059,430800,430700,261758
2607,441700,440800,261144
2748,445100,445200,260960
2513,441200,441900,260645
1278,360700,440100,260355
1474,411700,341200,260092
1902,430200,430400,259896
2541,441300,441400,259858
2562,441400,441300,258734
2436,440700,441700,258522
2764,445200,445100,258454
868,341300,321300,256850
1926,430300,430200,255284
1901,430200,430300,255062
366,330100,331000,255024
2431,440700,440400,254938
1835,429006,429004,254228
1203,360400,421100,251620
1801,429004,429006,250972
176,320500,320100,250260
325,321200,320400,249086
1647,420900,421300,248792
1752,421300,420900,248602
322,321200,310000,247885
962,350100,350400,247404
1619,420800,420100,247052
149,320400,310000,247027
2353,440400,440700,245780
1007,350400,350100,245148
2491,440900,445300,244700
532,330700,361100,244399
908,341600,340100,243931
1571,420600,411300,243078
1199,360400,361100,242462
436,330300,350900,240322
2483,440900,440300,239564
339,321300,320500,239351
1491,420100,420800,238694
160,320400,321200,237956
73,320100,321300,237772
1746,421300,420100,237634
392,330200,310000,236764
1105,350900,330300,236736
1398,361100,360400,236475
401,330200,330700,236164
1496,420100,421300,235818
1443,411300,420600,233942
2350,440400,440100,233145
2434,440700,440900,232094
187,320500,321300,230521
2771,445300,440900,228890
2102,431000,440200,228668
2675,441900,441200,226709
2433,440700,440800,226483
1251,360600,361100,225732
15,310000,321200,223863
1331,360900,360800,223554
1947,430400,430300,221452
62,320100,320200,221266
1400,361100,360600,221046
1708,421100,420700,220640
511,330700,330200,220452
7,310000,320400,220147
386,330100,361100,220050
1455,411400,341300,219615
2366,440400,820000,219162
95,320200,320100,218176
2285,440200,431000,217694
1612,420700,421100,217378
295,321000,320500,215491
1688,421100,340800,215308
1219,360500,360900,215264
18,310000,330200,215137
2257,440100,445200,214978
694,340400,341500,214788
2245,440100,440800,214609
879,341300,411400,213968
1303,360800,360900,213366
2599,441600,441900,211907
323,321200,320100,211288
1328,360900,360500,211188
65,320100,320500,209803
350,321300,341300,209689
2454,440800,441700,209683
890,341500,340400,208838
809,341100,321000,208421
2982,820000,440400,208392
1456,411400,341600,208223
492,330500,341800,207872
99,320200,320600,207334
427,330300,330700,206470
917,341600,411400,205255
808,341100,320800,204950
2241,440100,440400,204636
1989,430500,441800,203934
184,320500,321000,203153
2486,440900,440700,202591
2636,441800,441200,202400
1532,420300,420600,202350
303,321000,341100,201659
2568,441400,445200,201338
910,341600,340400,201236
1574,420600,420300,200422
512,330700,330300,200214
1908,430200,431000,199170
1650,420900,429006,198972
2757,445200,441300,197820
2549,441300,445200,197694
2651,441900,360700,197532
1830,429006,420900,197312
2758,445200,441400,197072
807,341100,320500,196943
913,341600,341100,196821
695,340400,341600,196562
274,320800,341100,196002
1927,430300,430400,195827
2504,441200,440300,194994
1377,361100,330100,193942
2512,441200,441800,193746
398,330200,330400,193722
779,340800,421100,192970
259,320700,371300,192159
226,320600,320200,192136
639,340100,341600,190727
455,330400,330200,187992
857,341200,411500,187407
1428,371300,320700,187226
1055,350600,350800,187174
918,341600,411600,186435
947,341800,330500,186300
1626,420800,421000,185538
1888,430200,360300,184776
2514,441200,442000,184588
2679,441900,441600,184583
1366,361000,360700,184374
1088,350800,350600,184336
1660,421000,420800,183924
2107,431000,441900,183276
1800,429004,429005,182938
1169,360300,430200,182324
1462,411500,341200,181777
1471,411600,341600,181258
1645,420900,421100,180378
1710,421100,420900,179616
589,331000,330600,179354
1383,361100,330700,178954
2712,442000,441200,178703
1297,360800,360100,178148
1326,360900,360300,177776
1272,360700,361000,177763
869,341300,340100,177218
2585,441600,360700,176875
1165,360300,360900,176220
503,330600,331000,175756
2621,441800,430500,175724
1819,429005,429004,175480
1523,420200,421200,175212
356,330100,320500,171342
1728,421200,420200,171048
1463,411500,341500,171022
2080,430900,431300,170526
2370,440500,350600,170178
2091,431000,430200,170083
2452,440800,440700,169498
188,320500,330100,169220
2303,440300,360700,168690
1572,420600,420100,168522
