FID,OID,DID,VAL
1235,420900,420600,24096
455,331000,331100,24254
469,331100,330800,24254
1291,421200,360400,24292
181,320600,321100,24476
932,360400,421200,24481
739,350100,350800,24702
1052,361100,341000,24852
1272,421100,341500,24864
1567,431100,440100,24902
1665,440200,440300,24948
959,360600,360100,24994
604,341000,340200,25072
1940,441900,430500,25106
1790,440800,440300,25143
283,330100,320200,25201
1609,433100,430900,25452
517,340300,340600,25520
2072,451100,440100,25548
1445,430300,430900,25616
1838,441200,440300,25684
1558,431000,441900,25697
1056,361100,350700,25984
1689,440300,431100,26058
391,330600,330900,26235
1581,431200,431300,26316
1537,430900,430300,26352
624,341100,320500,26360
1657,440100,451100,26444
1597,431300,431200,26708
2028,445300,441900,26816
126,320400,330500,27145
1462,430400,440100,27224
348,330300,361100,27240
1320,422800,420100,27248
1331,422800,430800,27356
1989,442000,445300,27386
665,341300,341100,27432
687,341500,421100,27482
1911,441700,441900,27520
35,310000,341100,27612
1987,442000,441800,27617
1022,360900,361000,27688
1651,440100,450300,27709
1666,440200,440600,27790
991,360700,441900,27835
616,341000,361100,27850
1523,430800,422800,27872
505,340200,341000,27932
363,330400,330900,27940
1964,441900,450400,27980
2038,450300,440100,28003
1362,429005,429006,28056
163,320500,341500,28318
1670,440200,441900,28361
150,320500,330600,28491
1041,361000,360900,28496
832,350800,350100,28538
2074,451100,440600,28562
442,330900,330600,28579
1375,429006,429005,28654
1780,440700,441200,28689
1129,420200,360400,28691
986,360700,440300,28742
858,350900,350500,28930
1147,420300,411300,28986
794,350500,360700,29071
1079,411300,420300,29185
2068,450900,441900,29501
1691,440300,440200,29552
37,310000,341500,29582
813,350600,445200,29686
2065,450900,440600,29759
490,340100,341800,29764
1746,440600,440200,29807
383,330600,320500,29835
1092,411500,420100,29883
792,350500,350900,29948
1840,441200,440700,30016
1571,431100,441900,30113
2042,450400,440100,30268
1513,430700,430600,30274
1703,440300,441700,30459
440,330900,330400,30460
2033,445300,450900,30591
336,330300,330800,30621
1876,441400,441900,30786
1499,430600,430700,30800
2008,445200,350600,30816
268,321300,320200,31225
1481,430500,450300,31272
1709,440300,445300,31319
445,331000,310000,31367
1696,440300,440800,31463
1105,420100,411500,31661
151,320500,330900,31901
929,360400,420200,32014
1698,440300,441200,32028
161,320500,341100,32119
1554,431000,440100,32136
370,330500,320400,32140
2059,450800,440600,32146
1120,420100,429005,32448
25,310000,331000,32481
890,360200,360400,32602
89,320200,321300,32621
39,310000,341800,32704
1077,371700,320300,32741
1792,440800,440600,32779
102,320300,320500,32826
709,341700,340700,32876
717,341800,310000,33118
919,360400,360200,33154
242,321100,310000,33160
1255,421000,421200,33592
1630,440100,431100,33611
1652,440100,450400,33700
2036,450300,430500,33996
435,330900,320500,34009
1768,440600,451100,34155
1954,441900,441400,34164
2048,450400,445300,34324
1750,440600,440800,34514
1044,361100,330100,34519
1805,440800,460100,34957
1766,440600,450900,35134
725,341800,340100,35152
135,320500,320300,35211
1084,411400,340600,35276
1038,361000,360600,35402
576,340700,341700,35432
1296,421200,421000,35536
1040,361000,360800,35538
1629,440100,431000,35586
1957,441900,441700,35699
999,360800,360300,35722
1856,441300,440500,35726
1352,429005,420100,35783
450,331000,330400,35847
13,310000,321100,35888
1005,360800,361000,35896
1967,441900,450900,35896
2018,445200,441900,35915
1944,441900,440200,35925
1626,440100,430400,35976
1681,440300,360700,36043
2075,451100,441200,36110
22,310000,330700,36203
112,320300,371700,36520
965,360600,361000,36664
2122,520600,431200,37091
92,320200,330400,37237
395,330700,310000,37387
564,340600,411400,37388
941,360500,360800,37402
353,330400,320200,37413
1042,361000,361100,37716
1737,440500,441300,37841
2087,460100,440800,37857
1469,430500,430300,37906
1941,441900,431000,37989
1826,440900,440600,38208
1919,441800,430500,38233
1586,431200,520600,38444
901,360300,360800,38536
364,330400,331000,38552
1848,441200,451100,38662
1064,361100,361000,38716
1751,440600,440900,38797
1961,441900,445200,39078
723,341800,330100,39109
1001,360800,360500,39124
1228,420800,429005,39416
1824,440900,440300,39511
1962,441900,445300,39770
1994,442000,820000,39827
636,341100,341300,40169
777,350400,350700,40182
1174,420500,429021,40358
638,341100,341600,40496
303,330100,341800,40510
50,320100,320300,40515
1668,440200,441600,40580
584,340800,340200,40670
1893,441600,440200,40678
177,320600,320700,40875
1025,360900,430100,40942
1355,429005,420800,40982
1573,431100,451100,41015
296,330100,331100,41290
823,350700,350400,41322
504,340200,340800,41636
486,340100,341300,41681
2030,445300,450400,41718
1412,430100,431000,41956
1414,430100,431200,42088
611,341000,341700,42228
202,320800,320200,42408
309,330100,361100,42482
54,320100,320700,42663
1380,429021,420500,42717
1843,441200,441900,42915
1121,420100,429006,43088
864,360100,360200,43098
275,321300,321000,43255
1765,440600,450800,43263
667,341300,341600,43348
1524,430800,430100,43383
375,330500,330600,43509
189,320700,320600,43584
2175,820000,442000,43684
1366,429006,420100,43692
101,320300,320100,43708
696,341600,341300,43753
2043,450400,440600,43979
1223,420800,420900,44172
195,320700,370200,44446
508,340200,341700,44502
1934,441900,360700,44735
388,330600,330500,44792
463,331100,330100,44976
2045,450400,441200,45061
188,320700,320500,45211
1572,431100,450300,45264
1237,420900,420800,45304
633,341100,340500,45524
1396,430100,360900,45619
1955,441900,441500,45655
1549,431000,430100,45727
548,340500,341100,45762
2125,522600,431200,45780
1416,430100,433100,45783
1983,442000,441300,45990
2071,451100,431100,46088
706,341700,340200,46164
1293,421200,420200,46382
1736,440500,440300,46537
2037,450300,431100,46667
836,350800,350500,46714
489,340100,341700,46717
860,350900,350700,46790
791,350500,350800,47050
1141,420200,421200,47060
826,350700,350900,47190
62,320100,340100,47210
925,360400,360900,47266
1587,431200,522600,47428
1886,441500,441900,47531
1090,411500,341200,47621
1017,360900,360400,47701
651,341200,411500,47706
186,320700,320100,47785
2049,450500,440800,47822
1065,370200,320700,47828
591,340800,360400,47932
1798,440800,450500,48146
1724,440400,441700,48185
138,320500,320700,48438
386,330600,330300,48472
587,340800,340700,48474
1660,440200,360700,48641
239,321000,321300,48705
1634,440100,440500,48870
1847,441200,450400,49316
916,360400,340800,49404
1863,441300,442000,49413
705,341700,340100,49506
63,320100,340200,49671
84,320200,320800,49741
211,320800,321200,50041
1735,440500,440100,50356
985,360700,440200,50750
1877,441400,445100,50758
984,360700,440100,50907
1413,430100,431100,50950
889,360200,360100,51010
495,340200,320100,51364
1739,440500,441500,51370
1693,440300,440500,51442
1905,441700,440400,51516
373,330500,330200,51752
599,341000,330100,51817
262,321200,320800,51865
869,360100,360700,51997
334,330300,330600,52583
1557,431000,441800,52583
1881,441500,440500,52992
711,341700,341000,53210
228,321000,310000,53418
1489,430600,421200,53426
571,340700,340200,53546
1543,430900,431300,53982
2004,445100,441400,54146
483,340100,341000,54210
1431,430200,431000,54256
1591,431300,430400,54268
1242,420900,429004,54354
1300,421200,430600,54504
1091,411500,341500,54635
1595,431300,430900,54786
573,340700,340800,55370
612,341000,341800,55442
1550,431000,430200,55512
233,321000,320600,55822
1927,441800,441300,55841
361,330400,330700,56283
1574,431200,430100,56337
1763,440600,450400,56414
271,321300,320500,56435
503,340200,340700,56708
1697,440300,440900,56738
53,320100,320600,56754
1361,429005,429004,56808
475,340100,320100,56984
1872,441400,440500,57010
1348,429004,429005,57040
1244,420900,429006,57084
1738,440500,441400,57094
844,350800,441400,57116
1109,420100,420500,57520
180,320600,321000,57525
661,341300,340100,57753
317,330200,330500,57824
603,341000,340100,58118
144,320500,321300,58313
300,330100,341000,58344
737,350100,350600,58742
56,320100,320900,58764
1239,420900,421100,58794
21,310000,330600,59070
1578,431200,430700,59456
1516,430700,431200,59586
1719,440400,440600,59740
382,330600,310000,59865
1748,440600,440400,59948
1183,420600,420500,59956
686,341500,411500,60053
1220,420800,420500,60102
1282,421100,420900,60308
1642,440100,441500,60447
399,330700,330400,60502
294,330100,330900,60673
12,310000,321000,60781
773,350400,350200,60814
1844,441200,442000,60982
246,321100,320500,60986
1868,441400,350800,60992
746,350200,350400,61084
1560,431100,430100,61594
681,341500,340800,61852
1185,420600,420800,61860
1162,420500,420600,61972
801,350600,350100,62232
142,320500,321100,62247
146,320500,330200,62277
1518,430700,433100,62288
1461,430400,431300,62470
778,350400,350800,62546
1342,429004,420900,62574
589,340800,341500,62760
2066,450900,440800,62780
835,350800,350400,62782
1879,441500,440100,63165
1370,429006,420900,63200
1952,441900,441200,63688
990,360700,441600,63814
1801,440800,450900,63914
437,330900,330100,64052
1619,440100,360700,64271
516,340300,340400,64674
1039,361000,360700,64693
1830,440900,441900,64906
1775,440700,440300,64916
313,330200,320500,64979
729,341800,341000,65414
217,320900,320100,65695
529,340400,340300,66042
1221,420800,420600,66274
2027,445300,441700,66321
1060,361100,360400,66360
1164,420500,420800,66510
595,340800,421100,66706
120,320400,320900,66872
219,320900,320400,66872
1913,441700,445300,66914
104,320300,320800,67605
1920,441800,431000,67610
2010,445200,440100,67723
1861,441300,441800,67775
93,320200,330500,67783
1271,421100,340800,67880
2021,445300,440100,67909
173,320600,320100,67910
1607,433100,430700,67928
982,360700,361000,68178
