FID,OID,DID,VAL
2515,520600,431100,10016
734,341500,330100,10046
1012,360400,341700,10049
2304,441900,450800,10051
634,341000,310000,10113
696,341200,340600,10181
969,360200,330800,10229
801,350100,310000,10502
1827,430900,421000,10507
337,330200,330800,10585
2565,820000,440600,10604
966,360200,330300,10630
351,330300,330800,10730
771,341700,330100,10740
1496,421200,430100,10753
964,360200,330100,10770
1779,430600,440100,10806
2452,451300,441900,10824
198,320600,330100,10850
2011,440300,350200,10868
2116,440600,820000,10869
1406,420900,411500,11034
138,320400,340500,11062
1139,361000,330300,11103
430,330800,330400,11133
2201,441300,445100,11177
2048,440300,450900,11209
2222,441500,440600,11306
1018,360400,360700,11313
1857,431000,440600,11394
1727,430400,441800,11416
2357,445200,441600,11446
2518,520600,441800,11447
826,350200,440300,11453
1005,360400,330100,11459
1382,420700,421200,11466
822,350200,360700,11468
32,310000,340500,11472
1681,430200,440300,11475
2132,440800,440400,11539
1988,440100,450700,11565
1399,420800,429004,11597
1990,440100,450900,11627
2276,441900,430400,11719
223,320800,320600,11735
1437,421000,429006,11735
1677,430200,430900,11797
1489,421200,420700,11823
34,310000,340800,11827
1882,431200,360900,11871
769,341700,320100,11939
78,320100,341700,11942
2190,441300,440200,11965
1229,411400,341100,11978
667,341100,321100,11993
1453,421100,330100,11998
858,350400,361000,12066
1454,421100,330300,12106
267,321100,320900,12133
2555,611000,420300,12151
1333,420500,420900,12207
2050,440300,451100,12221
340,330200,331100,12228
1019,360400,360800,12253
2485,500000,431200,12316
1089,360700,440600,12344
668,341100,321300,12360
2430,451000,440600,12446
1792,430700,430400,12460
685,341200,320500,12469
1264,420100,411700,12576
621,340800,341000,12602
880,350600,350400,12620
647,341000,340200,12632
167,320500,340200,12698
1506,421300,420300,12744
1240,411500,421100,12779
454,330900,330600,12860
1832,430900,430400,12864
76,320100,341500,12878
479,331100,330600,12885
1146,361000,350400,12885
1684,430300,330700,12899
2008,440200,442000,12935
1171,361100,331100,12946
2129,440700,820000,13034
1492,421200,421100,13065
1173,361100,341700,13136
2228,441500,445100,13141
401,330600,330900,13155
1817,430800,430900,13179
2566,820000,440700,13262
1726,430400,440600,13320
2241,441600,445200,13343
2328,442000,441800,13352
1765,430600,420100,13443
1023,360400,420100,13554
1911,431300,430200,13647
1700,430300,430700,13695
958,360100,420100,13717
1322,420300,611000,13721
2198,441300,441800,13818
2444,451200,440600,13854
1682,430200,441900,13860
2307,441900,451100,13893
1640,430100,421000,13936
456,330900,331000,13952
170,320500,340500,14009
1534,422800,421000,14010
577,340500,341800,14134
2043,440300,445100,14175
135,320400,330500,14282
813,350200,310000,14283
2277,441900,430500,14358
1117,360900,330300,14633
753,341600,320100,14718
2446,451200,441900,14755
857,350400,360700,14765
184,320500,411400,14773
37,310000,341200,14793
1317,420300,421300,14879
2099,440600,441600,14902
2353,445200,440600,14902
515,340200,330100,14903
1073,360700,350600,14909
1599,429006,421000,14929
1178,361100,350500,14983
1281,420100,430600,15002
1503,421300,411300,15010
1631,430100,360100,15087
475,331100,330200,15149
1838,430900,431200,15149
642,341000,330500,15151
221,320800,320400,15250
797,341800,340500,15263
1094,360700,445100,15310
987,360300,360100,15311
768,341700,310000,15392
1416,420900,421200,15393
1081,360700,360900,15444
1478,421100,421200,15447
2025,440300,431100,15467
786,341700,361100,15472
2413,450700,440800,15507
750,341500,421100,15599
180,320500,341800,15737
2024,440300,431000,15772
565,340500,320200,15834
1680,430200,440100,15874
1255,420100,360100,15877
1773,430600,430400,15881
527,340300,310000,15889
1112,360800,440100,16012
1445,421000,430900,16021
522,340200,341000,16065
2331,442000,450800,16234
2526,522600,441900,16248
469,331000,330900,16291
961,360100,430100,16309
1234,411500,330100,16338
1745,430500,430200,16344
488,340100,320500,16360
1167,361100,330600,16389
2302,441900,450400,16407
483,331100,350700,16466
1535,422800,421100,16521
165,320500,331000,16686
566,340500,320400,16769
1675,430200,430600,16775
295,321300,320900,16856
1868,431100,440600,16857
870,350500,360700,16897
531,340300,320500,16902
908,350700,361100,16958
2004,440200,441300,16978
821,350200,350900,17035
199,320600,330400,17150
1341,420500,429021,17187
2503,520300,431200,17215
681,341100,341600,17336
2340,445100,440300,17358
1027,360400,421200,17379
2431,451000,441900,17417
951,360100,360500,17438
1055,360600,330700,17452
891,350600,445200,17523
2384,450300,440300,17534
20,310000,330300,17576
1179,361100,350700,17595
897,350700,331100,17596
176,320500,341300,17697
1414,420900,421000,17725
1029,360400,430600,17895
1257,420100,360400,18006
2288,441900,440800,18031
1615,429021,420500,18054
1140,361000,330700,18103
106,320200,341800,18159
1071,360700,350400,18180
1119,360900,330800,18234
495,340100,340600,18263
746,341500,341600,18511
2330,442000,445300,18514
67,320100,340300,18553
1997,440100,820000,18574
1989,440100,450800,18582
470,331000,331100,18749
2303,441900,450700,18834
1808,430800,422800,18849
2381,450300,430500,18851
410,330700,330500,18891
819,350200,350700,18926
1037,360500,360100,19009
1427,421000,420600,19225
36,310000,341100,19272
1266,420100,420300,19280
2235,441600,440600,19316
2562,820000,440100,19377
1469,421100,411500,19382
731,341500,320200,19444
730,341500,320100,19709
116,320300,340600,19787
1830,430900,430200,19820
1509,421300,420800,19833
1725,430400,440300,19854
2057,440300,820000,19919
563,340500,310000,19934
852,350400,350600,19935
447,330900,320500,20020
75,320100,341300,20029
580,340600,320300,20086
1542,422800,430700,20151
379,330500,320400,20177
373,330400,330900,20229
452,330900,330400,20434
164,320500,330900,20466
936,350900,350300,20474
764,341600,341500,20568
348,330300,330400,20638
2563,820000,440300,20686
1276,420100,422800,20813
513,340200,320500,20872
687,341200,330100,20939
1397,420800,421300,20940
2412,450700,440600,20979
835,350300,350400,20988
1222,411300,421300,21020
662,341100,320200,21045
1764,430600,360400,21064
1321,420300,610900,21071
1894,431200,430900,21144
1984,440100,450300,21151
802,350100,330300,21157
2348,445200,350600,21235
1920,431300,431200,21248
754,341600,320500,21360
1980,440100,445100,21370
1462,421100,341500,21376
481,331100,330800,21552
2285,441900,440500,21601
2553,610900,420300,21664
867,350500,350700,21789
840,350300,350900,21814
683,341200,310000,21919
791,341800,320500,21946
1992,440100,451100,21977
583,340600,340100,22059
789,341800,320200,22060
2483,500000,420500,22153
2110,440600,450900,22202
482,331100,331000,22241
1936,433100,430500,22357
496,340100,340700,22543
543,340300,341200,22559
29,310000,340200,22599
1250,411700,420100,22666
1961,440100,431100,22683
290,321300,320400,22700
1006,360400,330300,22762
266,321100,320800,22783
899,350700,350200,22935
599,340700,340100,23044
122,320300,411400,23081
1757,430500,440300,23184
1940,433100,430900,23209
679,341100,341300,23442
935,350900,350200,23627
2390,450400,440300,23691
540,340300,340600,23744
2411,450700,440100,23762
1699,430300,430600,23788
460,331000,320500,24086
365,330400,320600,24142
611,340800,330100,24143
952,360100,360600,24245
355,330300,350100,24309
1772,430600,430300,24329
1116,360800,441900,24455
556,340400,341100,24635
1310,420300,420100,24665
1233,411500,320500,24822
1543,422800,430800,24862
700,341200,341100,25021
1225,411400,320300,25033
2112,440600,451100,25059
567,340500,320500,25089
177,320500,341500,25142
1791,430700,430300,25403
2063,440400,440900,25450
2513,520600,430500,25535
675,341100,340400,25596
1113,360800,440300,25767
2486,500000,433100,26024
1957,440100,430400,26331
344,330300,310000,26528
2084,440500,441900,26537
1439,421000,430100,26673
2045,440300,445300,26736
1194,370200,320700,26840
2123,440700,441200,26879
1102,360800,360300,27027
850,350400,350300,27108
607,340800,310000,27111
528,340300,320100,27140
2394,450400,442000,27154
1235,411500,340100,27276
1698,430300,430500,27414
432,330800,330600,27487
38,310000,341500,27492
227,320800,321100,27493
610,340800,320500,27600
1484,421200,360400,27775
1411,420900,420600,27873
175,320500,341100,28073
435,330800,331100,28451
1960,440100,431000,28651
1245,411600,341100,28749
2292,441900,441400,28805
1771,430600,430200,29059
902,350700,350500,29063
386,330500,330700,29071
2164,440900,440400,29115
2295,441900,441700,29144
2034,440300,441200,29228
217,320800,310000,29339
1985,440100,450400,29355
1069,360700,350200,29368
2387,450300,441900,29383
265,321100,320600,29592
305,330100,320200,29623
879,350600,350300,29680
2267,441800,442000,29750
286,321300,310000,29786
93,320200,321300,29939
938,350900,350500,29939
1889,431200,430300,29974
2272,441900,360700,30044
1761,430500,450300,30079
1350,420600,420900,30153
2039,440300,441700,30189
1702,430300,430900,30230
1351,420600,421000,30316
2278,441900,431000,30360
1060,360600,360100,30407
584,340600,340300,30454
1158,361000,360900,30554
2339,445100,440100,30588
2027,440300,440200,30640
2395,450400,445300,30677
2018,440300,360700,30689
2423,450900,440100,30817
242,320900,321300,30982
2420,450800,441900,31127
2370,445300,450400,31147
693,341200,340300,31238
1220,411300,420300,31673
40,310000,341800,31692
213,320700,370200,31701
2109,440600,450800,31869
2300,441900,445300,31959
809,350100,350800,31992
27,310000,331000,32387
1430,421000,420900,32406
869,350500,350900,32530
1090,360700,441300,32589
712,341300,320100,32676
2417,450800,440100,32684
1024,360400,420200,32739
992,360300,360800,32855
1132,360900,361100,33112
328,330100,361100,33400
2414,450700,441900,33421
1728,430400,441900,33453
2186,441200,451100,33453
2094,440600,440800,33538
2322,442000,440900,33611
2032,440300,440800,33854
1896,431200,431300,34220
2282,441900,440200,34700
1131,360900,361000,34895
1856,431000,440300,34978
1118,360900,330700,35172
1157,361000,360800,35252
2442,451100,442000,35402
2435,451100,440300,35457
146,320500,320300,35541
24,310000,330700,35558
2369,445300,442000,35903
458,331000,310000,36044
2305,441900,450900,36241
837,350300,350600,36454
976,360200,360400,36470
653,341000,341700,36572
1528,422800,420100,36881
660,341100,310000,37151
968,360200,330700,37163
161,320500,330600,37272
2243,441700,440300,37416
1721,430400,431300,37579
1147,361000,350500,37702
2299,441900,445200,37798
510,340200,310000,37852
94,320200,330100,38139
2090,440600,440200,38201
1588,429005,429006,38410
1309,420300,411300,38412
1129,360900,360700,38492
1603,429006,429005,38550
195,320600,321100,38637
323,330100,341800,38701
315,330100,330900,39222
