FID,OID,DID,VAL
1211,420300,420800,10036
1212,420300,420900,10049
1213,420300,421000,10065
1214,420300,421300,10112
1215,420300,429021,10147
1216,420300,610200,10151
1217,420300,610900,10298
1218,420300,611000,10313
1219,420500,420100,10319
1220,420500,420200,10362
1221,420500,420300,10369
1222,420500,420600,10369
1223,420500,420700,10378
1224,420500,420800,10429
1225,420500,420900,10566
1226,420500,421000,10571
1227,420500,421100,10587
1228,420500,421200,10587
1229,420500,422800,10598
1230,420500,429004,10599
1231,420500,429005,10641
1232,420500,429006,10723
1233,420500,429021,10794
1234,420500,430600,10827
1235,420500,430700,10828
1236,420600,232700,10837
1237,420600,411300,10893
1238,420600,420100,10895
1239,420600,420200,10917
1240,420600,420300,10921
1241,420600,420500,10984
1242,420600,420700,10992
1243,420600,420800,11011
1244,420600,420900,11029
1245,420600,421000,11031
1246,420600,421100,11199
1247,420600,421300,11256
1248,420600,422800,11344
1249,420600,429004,11345
1250,420600,429005,11368
1251,420600,429006,11412
1252,420600,429021,11486
1253,420600,430700,11518
1254,420600,430900,11580
1255,420600,610900,11600
1256,420600,611000,11601
1257,420700,340100,11624
1258,420700,340800,11662
1259,420700,360100,11686
1260,420700,360400,11729
1261,420700,361100,11731
1262,420700,420100,11800
1263,420700,420200,11860
1264,420700,420500,11862
1265,420700,420600,11875
1266,420700,420800,11902
1267,420700,420900,11916
1268,420700,421000,11933
1269,420700,421100,11945
1270,420700,421200,11985
1271,420700,421300,12024
1272,420700,429004,12028
1273,420700,429005,12038
1274,420700,429021,12051
1275,420700,430100,12118
1276,420800,420100,12187
1277,420800,420200,12236
1278,420800,420300,12318
1279,420800,420500,12413
1280,420800,420600,12416
1281,420800,420700,12429
1282,420800,420900,12455
1283,420800,421000,12510
1284,420800,421100,12514
1285,420800,421300,12554
1286,420800,422800,12638
1287,420800,429004,12706
1288,420800,429005,12707
1289,420800,429006,12759
1290,420800,429021,12761
1291,420800,430900,12784
1292,420900,411500,12836
1293,420900,420100,12976
1294,420900,420200,13023
1295,420900,420300,13065
1296,420900,420500,13266
1297,420900,420600,13401
1298,420900,420700,13429
1299,420900,420800,13442
1300,420900,421000,13470
1301,420900,421100,13470
1302,420900,421200,13486
1303,420900,421300,13544
1304,420900,429004,13548
1305,420900,429005,13627
1306,420900,429006,13689
1307,420900,429021,13760
1308,421000,420100,13789
1309,421000,420200,13793
1310,421000,420300,13841
1311,421000,420500,13857
1312,421000,420600,13865
1313,421000,420700,13921
1314,421000,420800,14079
1315,421000,420900,14102
1316,421000,421100,14132
1317,421000,421200,14172
1318,421000,421300,14211
