SourceID,NearID
440800,440900
440900,440800
440900,441700
440900,445300
441700,440700
441700,440900
441700,445300
445300,440600
445300,440700
445300,440900
445300,441200
445300,441700
441200,440600
441200,441800
441200,445300
440700,440600
440700,440400
440700,441700
440700,442000
440700,445300
441800,440100
441800,440600
441800,431000
441800,431100
441800,440200
441800,441200
440600,440100
440600,440700
440600,441200
440600,441800
440600,442000
440600,445300
440400,440700
440400,442000
442000,440100
442000,440400
442000,440600
442000,440700
440100,440200
440100,441300
440100,441800
440100,440600
440100,441900
440100,442000
441900,440100
441900,440300
441900,441300
440300,441300
440300,441900
441300,440100
441300,440200
441300,440300
441300,441500
441300,441600
441300,441900
431200,430700
431200,430800
431200,430500
431200,430900
431200,433100
431200,431300
430500,430400
430500,431100
430500,431200
430500,431300
431300,430100
431300,430300
431300,430400
431300,430500
431300,430900
431300,431200
431100,430400
431100,430500
431100,431000
431100,441800
430400,430200
430400,430300
430400,430500
430400,431000
430400,431100
430400,431300
430300,430200
430300,430100
430300,430400
430300,431300
431000,360700
431000,360800
431000,430200
431000,430400
431000,431100
431000,440200
431000,441800
430200,360300
430200,360800
430200,430100
430200,430300
430200,430400
430200,431000
440200,440100
440200,360700
440200,431000
440200,441300
440200,441600
440200,441800
360300,430100
360300,430200
360300,360800
360300,360900
360800,360300
360800,360500
360800,360700
360800,360900
360800,361000
360800,430200
360800,431000
441600,441300
441600,441400
441600,441500
441600,360700
441600,440200
360700,350400
360700,350800
360700,431000
360700,360800
360700,361000
360700,440200
360700,441400
360700,441600
441500,441300
441500,441400
441500,441600
441500,445200
441400,350600
441400,350800
441400,360700
441400,441500
441400,441600
441400,445100
441400,445200
445200,440500
445200,441400
445200,441500
445200,445100
361000,360100
361000,360800
361000,360900
361000,350400
361000,350700
361000,360600
361000,360700
361000,361100
440500,445100
440500,445200
350800,350400
350800,350500
350800,350600
350800,360700
350800,441400
445100,440500
445100,441400
445100,350600
445100,445200
350400,350100
350400,350500
350400,350700
350400,350800
350400,360700
350400,361000
350600,350200
350600,350500
350600,350800
350600,441400
350600,445100
350200,350500
350200,350600
350700,330800
350700,331100
350700,350400
350700,350100
350700,350900
350700,360600
350700,361000
350700,361100
350500,350200
350500,350400
350500,350100
350500,350300
350500,350600
350500,350800
350300,350100
350300,350500
350100,350300
350100,350400
350100,350500
350100,350700
350100,350900
350900,330300
350900,331100
350900,350700
350900,350100
422800,420500
422800,429400
422800,430700
422800,430800
422800,433100
433100,422800
433100,430800
433100,431200
420300,420600
420300,429400
429400,420300
429400,420500
429400,422800
429400,420600
430800,422800
430800,430700
430800,431200
430800,433100
420500,420600
420500,420800
420500,421000
420500,422800
420500,429400
420500,430700
430700,420500
430700,421000
430700,422800
430700,430800
430700,430900
430700,431200
420600,420300
420600,420500
420600,421300
420600,420800
420600,429400
430900,421000
430900,430600
430900,430700
430900,430100
430900,431200
430900,431300
421000,420100
421000,420500
421000,420800
421000,430600
421000,430700
421000,430900
421000,421200
421000,429100
421000,429200
420800,420500
420800,420600
420800,421300
420800,420900
420800,421000
420800,429200
420800,429300
429200,429100
429200,420800
429200,421000
429200,429300
429300,429100
429300,420800
429300,420900
429300,429200
430100,360300
430100,360900
430100,430200
430100,430300
430100,430600
430100,430900
430100,431300
430600,360400
430600,360900
430600,421000
430600,421200
430600,430100
430600,430900
429100,420100
429100,420900
429100,421000
429100,429200
429100,429300
421300,420600
421300,420800
421300,420900
420900,420100
420900,420800
420900,421100
420900,421300
420900,429100
420900,429300
421200,360400
421200,420100
421200,420200
421200,421000
421200,430600
420100,420200
420100,420700
420100,421000
420100,421100
420100,420900
420100,421200
420100,429100
420700,420100
420700,420200
420700,421100
360500,360800
360500,360900
360900,360100
360900,360400
360900,360800
360900,360300
360900,360500
360900,361000
360900,430100
360900,430600
420200,360400
420200,420100
420200,420700
420200,421100
420200,421200
421100,340800
421100,341500
421100,360400
421100,420100
421100,420700
421100,420900
421100,420200
360400,340800
360400,341700
360400,360100
360400,360900
360400,420200
360400,421100
360400,421200
360400,430600
360400,361100
341200,340400
341200,341500
341200,341600
360100,360900
360100,361000
360100,360400
360100,361100
340800,340700
340800,341400
340800,341700
340800,360400
340800,421100
340800,341500
360600,350700
360600,361000
360600,361100
360200,341000
360200,341700
360200,361100
341700,340800
341700,340200
341700,340700
341700,341000
341700,360200
341700,360400
341700,361100
341700,341800
361100,341000
361100,341700
361100,330800
361100,350700
361100,360100
361100,360200
361100,360400
361100,360600
361100,361000
340700,340200
340700,340800
340700,341400
340700,341700
341000,330100
341000,330800
341000,360200
341000,361100
341000,341700
341000,341800
340200,340500
340200,340700
340200,341400
340200,341700
340200,341800
330800,330100
330800,330700
330800,350700
330800,331100
330800,341000
330800,361100
341800,320100
341800,320200
341800,320400
341800,330100
341800,330500
341800,340200
341800,340500
341800,341000
341800,341700
330100,330500
330100,330600
330100,330700
330100,330800
330100,330400
330100,341000
330100,341800
331100,330300
331100,330700
331100,330800
331100,331000
331100,350700
331100,350900
330500,320200
330500,320500
330500,330100
330500,330400
330500,341800
330700,330100
330700,330600
330700,330800
330700,331000
330700,331100
330300,350900
330300,331000
330300,331100
330600,330100
330600,330200
330600,330700
330600,331000
330400,310100
330400,320500
330400,330100
330400,330500
331000,330200
331000,330300
331000,330600
331000,330700
331000,331100
310100,320500
310100,320600
310100,330400
330200,330600
330200,331000
341600,340300
341600,340400
341600,340600
341600,341200
341500,340100
341500,340400
341500,340800
341500,341200
341500,341400
341500,421100
340400,340100
340400,340300
340400,341100
340400,341200
340400,341500
340400,341600
340600,320300
340600,340300
340600,341300
340600,341600
341300,320300
341300,321300
341300,340300
341300,340600
340100,340400
340100,341100
340100,341400
340100,341500
340300,321300
340300,340400
340300,340600
340300,341100
340300,341300
340300,341600
320300,320700
320300,321300
320300,340600
320300,341300
341400,340100
341400,340800
341400,320100
341400,340200
341400,340500
341400,340700
341400,341100
341400,341500
341100,340100
341100,340400
341100,320100
341100,320800
341100,321000
341100,321300
341100,340300
341100,341400
321300,320300
321300,320700
321300,320800
321300,340300
321300,341100
321300,341300
340500,340200
340500,320100
340500,341400
340500,341800
320100,320400
320100,321000
320100,321100
320100,340500
320100,341100
320100,341400
320100,341800
320800,320700
320800,320900
320800,321000
320800,321300
320800,341100
320700,320300
320700,320800
320700,320900
320700,321300
321100,320100
321100,320400
321100,321000
321100,321200
321000,320100
321000,320800
321000,320900
321000,321100
321000,321200
321000,341100
320400,320100
320400,320200
320400,321100
320400,321200
320400,341800
321200,320200
321200,320400
321200,320600
321200,321000
321200,320500
321200,320900
321200,321100
320200,320500
320200,321200
320200,330500
320200,320400
320200,341800
320900,320600
320900,320800
320900,320700
320900,321000
320900,321200
320500,310100
320500,320200
320500,330400
320500,330500
320500,320600
320500,321200
320600,310100
320600,320500
320600,320900
320600,321200
